(00:40.83, 00:41.23) (spk 1): okay .
(00:42.42, 00:54.18) (spk 0): I am talking to Pamela hers LPG president and founder of children screens instituted digital media in child development and hosted the popular happy experience when they ask you .
(00:54.99, 00:56.74) (spk 0): lady bird Johnson payments please .
(00:57.55, 01:3.15) (spk 0): encouragements appoint kids because children are actually two you believe in them .
(01:4.75, 01:25.56) (spk 0): without giving too much away where is the next bridge are going to discuss today I'll save everything next ninety minutes we will talk about the scandals happened conversations that will help you do just that namely they will provide guidance about the best ways to support your children to live healthy lives in increasing wages you know where else .
(01:26.37, 01:31.38) (spk 0): we are delighted that you and within six hundred others tension engine for this afternoon's conversation .
(01:32.19, 02:41.3) (spk 0): yes seeming panels have reviewed the question do you submit it I want to address many of the possible during after their presentation if you have additional questions during the workshop please take a minute she went back and finally your screen when you do please indicate whether or not you'd like to ask you a question why one can respond to me or if you would prefer to moderator reader questions we're recording today's workshop it will upload all the video teaching in the coming days already chance will receive a lottery to channel where you're applying videos for repair twenty seven webinars which we help you out why did you wait for this video to be posted yes now my great pleasure to introduce our moderator thank you Laura Janet is a paediatrician educators help communicator and it would bring up your find connexions across disciplines in crystalline Gavia into far reaching real world applications with a focus on social impact she is currently an associate research professor at Penn state university's envelop years prevention research centre we had a line this year here today welcome .
(02:43.33, 02:52.61) (spk 0): well thank you pay I'm I'm really looking forward to serving the moderator for what I have no doubt is going to be a really interesting and highly relevant discussions for today .
(02:53.58, 04:13.49) (spk 0): as you mentioned every paediatrician but also also as a parent Oscar social entrepreneur who's dedicated to helping all children five and today's rapidly changing and globally complex world it's been my experience that this topic the topic of how best to approach freezing children in a digital world is one that perhaps more than any other is a universal interest and importance to parents paediatricians educators and researchers alike then probably leaving a whole bunch of people on that list so when it comes to discussing children media use questions of interesting concern Spain from the more technical which media is okay for how long it what age and should we as parents be monitoring limiting our children's media use and it's so help all the way to broader questions of how media use the instant impact how development and how best to parents in the digital age fortunately children and screams as Brad together today is still a group of expert panellists to share some of their research and practical advice regarding media rules parental controls family the only media plans and much more so with that as a quick overview what I'm gonna do now is give each of our panellists a chance to briefly share some of their working inside and then we'll open things up and leave plenty of time for our experts to address your questions .
(04:14.3, 04:43.63) (spk ??): so first is that Adam planner a licenced clinical psychologist in this twentieth European that practise who's been a digital they had for over seventeen years that depends %HESITATION consult with parents as well as technology companies to balance the many benefits of the digital world with healthy child development and mental help in with that animal turned over to you thank you so much I really appreciate the opportunity to speak to you all go ahead in %HESITATION sure my screen .
(04:48.85, 04:49.25) (spk 1): right .
(04:50.06, 04:54.67) (spk 1): please the technology and the centres working I can't see anything but my screen responded .
(04:55.74, 05:8.65) (spk ??): you are all good excellent okay so let's let's jump in %HESITATION as the first one first expert to go today I'm trying to set the stage %HESITATION in touch on a few different things .
(05:9.46, 05:52.19) (spk 1): dad we all be discussing in more detail so obviously any discussion of rental controls I'm gonna start off with a discussion or %HESITATION moment of a parent right with that what is the point of parent it right we're raising a children were raising future adults %HESITATION and you know as you can see the fence in the background it takes a lot of care and guidance and support to raise our our future results its principal intro than any discussion %HESITATION again I'm a clinical psychologist so I work with families all day long any discussion around parental controls really you know I would want to shy away from it being a belt the control .
(05:53.26, 06:19.2) (spk 1): I'll touch on that in a second but really repressive controls should be setting up is a way of safeguarding in mental ring with the group with the aim of helping our children learn to self regulate themselves and that's a huge task %HESITATION you know for that will let me take a lifespan but that really is the goal of childhood adolescence into young adulthood to learn how to manage yourself .
(06:20.09, 06:47.02) (spk 1): your digital parenting pioneers first time ever in the history of humankind %HESITATION you know parents have been around for you know system beginning this gap between what I as a parent I grew up with in with how well my children are exposed to having to manage and navigate is is is overwhelming to settle these things very very different insurance of my reference point .
(06:47.89, 07:3.58) (spk 1): reference points are really important because she means learn by doing and having some sort of %HESITATION Haron or reference that we can go back to the refer back you quite literally gives us a guidance of how did then approach this next decision making .
(07:4.39, 07:19.83) (spk 1): there's a lot of decisions that need to be made %HESITATION when it comes to parenting specially in twenty twenty one to come possibly coming out of a pandemic rate so %HESITATION insurance of reference point we have a lot of references I have a lot of references I'm sure you all use well .
(07:20.64, 08:23.57) (spk 1): I to a physical barrier physical way of being proactive and in helping our children be safe and in teaching them from walls the fences %HESITATION wise you know is that is like as a large you know society law parental control it's certainly a control over society giving us some guidance on what to do you've got a green light you stop at a red light in everyone agrees to that in the keeps us all safe car seats have remember very well when my first child was born %HESITATION almost seventeen years ago %HESITATION you know I actually went to the police station to make sure the course it was in %HESITATION in in a secure way because I was nervous as a brand new parent or soon to be parents and so I would imagining that you all %HESITATION to sign on to this weapon are today have similar types of worries and concerns and in the intent of raising our kids as well as we can in this %HESITATION very overwhelming confusing time .
(08:24.56, 08:53.74) (spk 1): yep the system I'm gonna take your really is on the guard rail %HESITATION old all kids are going to test the limits that's part of the process of learning into child development to trial and error to see what works what doesn't work and if you put a device in a child's hand which pretty much everything we is doing %HESITATION quite early %HESITATION then they give children through their learning process is gonna will test limits humans learn by doing .
(08:54.55, 09:7.96) (spk 1): so this is a slide out of my typical workshop where I'm not going to cover all this today I think we will talk this through mostly but I I chose the slide %HESITATION not because of what's on the screen there public because if we take a .
(09:9.58, 09:13.65) (spk 1): anyway so if we take sorry if I take a step back .
(09:14.58, 09:34.17) (spk 1): what parental controls are is is really a text based true to help us parent in the digital world is technology helping with technology and when using the far for reasonable way it actually does it's a huge part of how repaired now I know when I will rely on it but it is a huge part of what we're doing .
(09:35.86, 09:46.63) (spk 1): you know encouraging our kids to monitor to to slow down to posit thing and to you know for us tomorrow in mental health they're learning .
(09:47.89, 09:57.25) (spk 1): president roles in encouragement in in maybe even force as I often say the parent child dialogue which helps to learning for both parents and children .
(09:58.46, 09:59.99) (spk 1): what I was saying earlier is that we .
- end of chunk 1-
(10:00.0, 10:48.67) (spk 0): the reason I chose this slide is I really want to take a step back briefly in kind of look at the the let's say the young mom holding the back of her head because it's so stressful trying to think this through and see if there are kids in what is the right answering what do we do which again probably brought you here today I think it's a very important %HESITATION lens to look at this discussion it's just one of many lenses up a distressed out worried parent specially independent Nick is very important here so ultimately sorry alternately what we're talking about we talk about parental control if you this lens as principal inside just like when I had that anxiety the anticipatory anxiety as I was becoming a parent to make sure my car seat was installed correctly .
(10:50.16, 11:7.41) (spk 0): exactly is a very healthy normal part of being a parent specially young parents and in this overwhelming world of all of these I known on certainty inside he goes up because that's what inside it does that's normal what is the antidote for inciting typically .
(11:8.22, 11:14.31) (spk 0): control right the end to do if you're feeling in control you feel less anxious just in general .
(11:15.84, 11:30.38) (spk 0): what happens often in large different examples of life not just parenting is that because we feel anxious we gets so invested in the control that it almost becomes an allusion of control where then other clinical .
(11:31.19, 11:58.44) (spk 0): issues might pop up of magical thinking and different rituals in order to feel in control and doing these things to feel more in control %HESITATION so it's something I just want to be aware of as we talk through the different types of parental controls because it will give you some level of control but don't lose sight of the fact that we're raising future adults it's not just about keeping them safe in like in a little bubble in order for them to grow up .
(11:59.25, 12:4.02) (spk 0): %HESITATION having clear rules and expectations will obviously be very very critical here .
(12:4.92, 12:5.65) (spk 0): so %HESITATION .
(12:6.89, 12:9.15) (spk 0): so so let's just jump into the sort of video .
(12:10.18, 12:12.98) (spk 1): the proved me because I might get .
(12:13.95, 12:25.5) (spk 1): he was trying to file the will the ones painted on the cable anything new is Chad curiosities bad dietary plan basically anything fun is the best .
(12:26.63, 12:44.09) (spk ??): welcome to my world so something there I hear there from my kids him from a kids all day long in my office that it's so much control that anything that is fun because a lot of fun on the internet seem ticked up recently it's a lot of fun but with some concerns .
(12:46.51, 12:50.63) (spk 1): thank you the storey about how are they're changed in an instant .
(12:52.47, 12:57.43) (spk 1): what we didn't know was that our world the best come to an end .
(12:58.24, 13:5.37) (spk ??): and there are no rules on our cables to prepare for that right so I often feel like this is from the cruise the first fruits .
(13:6.22, 13:21.47) (spk 0): I often feel like that as a parent at there's no rules written down we are pioneers as they've set in that non clinical healthy appropriate adaptive protective anxiety is what is driving again through this land is driving .
(13:22.28, 13:36.27) (spk 0): or parenting decisions it is really is exactly is a preps signal to keep us protected as part of the phone %HESITATION flight and it's really about survival again survival to raise future adults .
(13:37.2, 13:44.86) (spk 0): human brain typically doesn't fully developed until twenty five to thirty leave that in so over the lifespan .
(13:46.75, 13:52.89) (spk 0): the ability to control in think through things and have impulse control doesn't fully developed until much later .
(13:53.7, 14:14.25) (spk 0): don't panic even though there's no rules written down we are the pioneers %HESITATION or children %HESITATION or they're with us in the I know almost as much or more than we do again I go back to this reference points they are first generation digital citizens and they are different things that as parents we can encourage them to do .
(14:15.28, 14:50.72) (spk 0): into that briefly now in terms of screen time they could set their own %HESITATION apple emits it doesn't have to block them but it increases their awareness all the presidential should be focused on helping our children HIPAA laws in sync through what they're doing not be consumed by their own inside the of the uncertainty of what's good about to happen but to think it through in a calmer slower way which is almost imperceptible to being a teenager teenagers by definition or more impulsive because their brains that front part of the brain is not fully developed .
(14:51.92, 15:43.96) (spk 1): they've dopamine that secreted in the brain's pleasure centre when we get the rest of information and we look at the screens there centre of the brain is most activated when we're kids and we're teenagers so knowing that they are so pulled into these in a way that we can't even understand has made me not B. as in Greece at them but realises a lot more I need to do as in my parenting for these little electronic drug delivery devices another to create a put it but that's what you're saying absolutely I mean it's amazing that there's many studies that look at MRI scans of the brain of kids who play a lot of the against twenty hours or more video games a week and when they compare them to people who are addicted to say drugs or alcohol their brain scans are similar .
(15:44.77, 16:16.11) (spk ??): so something is really happy Nina physiological level it's not just psychological is both physiological and psychological so what to do with that against Tempest I'm wrapped up in the wall we'll talk about this in more detail during the Q. innate but I've so I'm always gonna recommend since I get asked about apple every single day using what is built in because you know I have to buy anything extra if you have if you're an apple family as many families are you go right to apple's website right there %HESITATION .
(16:17.09, 16:42.97) (spk 0): it's set up family sharing in the family sharing is key because it has been asked by system where it's it's forces the dialogue as the child catches download whatever he wants then heard about in the back of the bus so you can go through and stepped up again apple has changed their website recently where they walk if you would pretty quickly and easily %HESITATION in again it's set up in a way where I mean increases that dialoguing for ages the learning .
(16:44.8, 17:3.36) (spk ??): give you a family calendar and again that it has to buy system so the child is in just grabbing whatever apple toy that these seem plug in their credit card that is often always green time again they have a great website now %HESITATION where it kind of washes to really do that go there sorry .
(17:4.23, 17:20.48) (spk 0): and so this is what I was talking about before with the child can actually see how long they've been on what was the first app to be picked up when they when they picked up their phone many give that self awareness over time is going to help them learn in make better choices as the forward .
(17:22.91, 17:29.88) (spk 0): so you can see obviously because up to see where the family sharing the children are there in all of that is remote through your phone .
(17:30.69, 17:36.5) (spk ??): and all these great information and I'm sure it can be very helpful for people to have that very specific .
