(00:0.74, 00:2.23) (spk 0): no it's fine I don't .
(00:3.04, 00:3.35) (spk 0): yes .
(00:7.03, 00:7.35) (spk 0): yes .
(00:14.72, 00:15.72) (spk 0): yep so .
(00:17.33, 00:20.12) (spk 0): you know this is exactly where you should be right now .
(00:20.93, 00:32.0) (spk 0): and you know I think you know I'm glad to see what you wrote in the email about your ideas and now you know you presented this morning on the pushchair and things like that I think they're clearly .
(00:34.43, 00:35.96) (spk 0): you know I think that is .
(00:37.36, 00:45.42) (spk 0): the only like going through the methodology kind of helps you organising clarify you already radical thinking a little bit it's going to be email up .
(00:49.39, 00:51.72) (spk 0): just look at your poster right now because I saw that you .
(00:53.55, 00:54.27) (spk 0): but I think .
(00:55.18, 01:3.34) (spk 0): I think you know like in the postman when you presented there I think it was it's now much clearer how are you linking all these differences medical models yeah .
(01:4.15, 01:18.08) (spk 0): do they choose to count design of the intervention let's say and what you need to do %HESITATION yeah let you know all these things that go to the feedback you've got friends if I find the feedback on you know .
(01:19.06, 01:23.29) (spk 0): what exam only is mediation yes .
(01:25.12, 01:38.03) (spk 0): so I think by when we were in the session this morning what was good I think and that could be productive it's just seems like a preliminary be likely more bottom up kind of thing yeah .
(01:39.22, 01:42.67) (spk 0): I know we've been talking a lot about the intervention with the invention consists a .
(01:44.21, 01:50.91) (spk 0): I think your observation of that being quite top down and just you know here's a material having to use it it's not really .
(01:51.72, 01:55.6) (spk 0): however let you know is very absolutely .
(01:56.69, 01:57.5) (spk 0): in some ways .
(01:58.33, 01:58.67) (spk 0): and .
(02:0.48, 02:13.57) (spk 0): I think in terms of the regions of your research on what you're trying to do might actually be very good to have some courses in aspect where you you know broken trust rather than doing interviews .
(02:14.39, 02:14.83) (spk 0): yep .
(02:16.24, 02:44.04) (spk 0): it's saying okay you know what kind of intervention would help you or what do you what would you think you know would be you know poses on let's see you know the kind of previous stuff you can take the problem because it's really hard for people who don't do this nothing is working designed something from scratch right but you can take the family media plan and do like a critical you know like walk through what do you think about this how would you do that .
(02:45.22, 02:59.7) (spk 0): you know %HESITATION well I do have you have you done something else you can maybe you can get some parents you actually try to engage with it and some who haven't or I've done other times since family intervention might be a bit of a search to find the people that you know .
(03:1.16, 03:5.96) (spk 0): yeah I think that's that's promising because it gives it a more definite might be able to .
(03:7.45, 03:43.98) (spk 0): help you with those questions that you're asking right now you know because I think they are if you take that open approach you're either so you have to go through marks that you've been using thank you know you could do that in approach where you incorporate all these different ones instead of when you go straight like Australia the intervention pop down you're kind of pre determining at another day you should still do that I think because this is clearly what's going on but alright well you know what the practise is at the moment but yeah I don't know what if you like tell me a little bit I'm rambling a little bit but it's also I think it's really cool .
(03:55.93, 03:56.36) (spk 0): let me .
(04:3.96, 04:4.85) (spk 0): you should be able to sell .
(05:3.49, 05:34.51) (spk 0): I mean everything about C. pounding literacy skills ready it's always there's a component of skill to it and is a component of knowledge to it right %HESITATION all these kind of things like what do you know what can you do yeah and when what do you do is your perceptions and behaviours yes so we think of it in there kind of you know whatever digital literacy model did you know literally the combination of these things out right we have skills and knowledge what kind what do you know what can you do then we have .
(05:36.25, 05:48.75) (spk 0): behaviour is in town motivation you have the motivation is always a bit weird because it's like before and after but let's put in there which is like you know the kind of one do you do and what do you think .
(05:50.06, 05:58.8) (spk 0): and then the middle help is the outcome right so if you think about the kind of you know we don't get the three levels of digital engagement or disengagement yeah .
(05:59.64, 06:17.01) (spk 0): this is engagement with technologies within a family setting but that's the kind of idea right if you think about this receive dental thing how do you know what you can do what you do what you do saying leave this certain outcomes indigenous societies thank in digital yep .
(06:17.94, 06:21.29) (spk 0): so that is hoping its digital literacy yeah .
(06:26.65, 06:31.95) (spk 0): yep yep thanks a literacy digit patch digital parenting literacy .
(06:39.56, 06:39.9) (spk 0): yep .
(06:49.3, 07:0.99) (spk 0): so what this is why I use the terminology social digital for everything that I do so there is you know if you have to rental knowledge you will have rental knowledge around or anything yeah .
(07:2.36, 07:16.36) (spk 0): Randall parenting skills yes what do you know how to do with you know and then you will have a digital component as well yes so you will have its parents my normal parent but they might not know how to do that in the digit all kind of go around technologies right .
(07:17.73, 07:35.63) (spk 0): yep so I think that there's a double and a same thing with behaviours and perceptions is about kind of you know what do you do %HESITATION what do you do with the joy you can sink if there's like a specially in the perceptions because I must be present maybe perceptions about counting in and kind of the right kind of thing to do .
(07:36.81, 07:40.94) (spk 0): I have a general sense of the might be Startin instead are you know .
- end of chunk 1-
(10:1.29, 10:5.01) (spk 2): yes they are specifically around the digital space .
(10:12.01, 10:12.87) (spk 2): read all the details .
(11:11.49, 11:11.71) (spk 2): yes .
(11:22.82, 11:23.06) (spk 2): yep .
(11:25.84, 11:39.12) (spk 2): yep no I think so too I think so and I think you know then then we come back to a lot of these kind of course the reason behaviour change there is a plan behaviour enough reason actually you know I know and the cricket struggle against does .
